timestamp, system, entity , value (m)
1622104285.551, lauv-roald, SmartX, 0.448
1622104285.747, lauv-roald, DVL, 0.074
1622104285.947, lauv-roald, DVL, 0.069
1622104286.051, lauv-roald, SmartX, 0.468
1622104286.350, lauv-roald, DVL, 0.073
1622104286.548, lauv-roald, DVL, 0.081
1622104286.551, lauv-roald, SmartX, 0.448
1622104286.748, lauv-roald, DVL, 0.064
1622104287.051, lauv-roald, SmartX, 0.418
1622104287.149, lauv-roald, DVL, 0.047
1622104287.347, lauv-roald, DVL, 0.055
1622104287.547, lauv-roald, DVL, 0.043
1622104287.551, lauv-roald, SmartX, 0.388
1622104287.951, lauv-roald, DVL, 0.038
1622104288.050, lauv-roald, SmartX, 0.408
1622104288.149, lauv-roald, DVL, 0.026
1622104288.349, lauv-roald, DVL, 0.040
1622104288.551, lauv-roald, SmartX, 0.428
1622104288.747, lauv-roald, DVL, 0.046
1622104288.949, lauv-roald, DVL, 0.040
1622104289.051, lauv-roald, SmartX, 0.448
1622104289.148, lauv-roald, DVL, 0.042
1622104289.547, lauv-roald, DVL, 0.048
1622104289.550, lauv-roald, SmartX, 0.418
1622104289.748, lauv-roald, DVL, 0.043
1622104289.949, lauv-roald, DVL, 0.048
1622104290.050, lauv-roald, SmartX, 0.418
